0,71240,0.63079441,0.60521811,0.5540477
71240,101280,0.90217251,0.59448856,0.62868994
101280,101360,0.54862547,0.35480136,0.51298678
101360,158880,0.11903713,0.22246051,0.16827986
158880,177960,0.2021614,0.21142167,0.17566046
177960,186160,0.44713664,0.53518212,0.46008894
186160,203440,0.55685794,0.55662721,0.42872611
203440,208800,0.49144784,0.42667133,0.37043941
208800,211960,0.28520295,0.31206942,0.20646204
211960,213880,0.26813537,0.37890032,0.29993841
213880,245720,0.32730222,0.39156711,0.30039153
245720,251320,0.25761253,0.28298298,0.31748798
251320,255200,0.42243484,0.43652302,0.48231423
255200,280480,0.39468592,0.40485403,0.40529123
280480,288880,0.45859548,0.45213765,0.49098042
288880,300040,0.2894603,0.24343035,0.35465094
300040,387320,0.24773385,0.22368181,0.17808351
387320,392080,0.48410872,0.49000615,0.51961553
392080,396200,0.38231403,0.49782512,0.44860661
396200,401400,0.34458646,0.39087296,0.4569833
401400,409200,0.39143184,0.37682524,0.5091325
409200,435800,0.28568536,0.2894403,0.34846842
435800,442920,0.62300026,0.49632785,0.47361618
442920,480560,0.18910678,0.20557633,0.18381551
480560,512040,0.31548357,0.29488707,0.22694016
512040,622760,0.24065059,0.1835618,0.29705781
622760,629480,0.21819781,0.36466798,0.24156499
629480,634600,0.30168268,0.29938185,0.26716661
634600,719080,0.17011018,0.1831364,0.21539408
719080,740560,0.18020125,0.26547152,0.2266508
740560,756160,0.41578522,0.52035469,0.44604558
756160,764000,0.30395302,0.47038943,0.43672749
764000,822880,0.33385602,0.33548525,0.28989631
822880,829440,0.33588627,0.3681764,0.4034535
829440,847680,0.25374472,0.40610489,0.45197269
847680,852480,0.43953979,0.43376502,0.46805713
852480,860640,0.34476146,0.48790476,0.58640563
860640,888640,0.34060484,0.36404583,0.42948446
888640,903400,0.3227337,0.26298824,0.277122
903400,906920,0.43953684,0.34107047,0.49430275
906920,909080,0.56326467,0.40687889,0.50556767
909080,967400,0.58071512,0.41299173,0.54955631
967400,968440,0.61261433,0.49567649,0.39251092
968440,979880,0.41948715,0.36571702,0.43201393
979880,1006200,0.3578808,0.33674875,0.30403027
1006200,1008520,0.48414466,0.33734164,0.44135714
1008520,1013240,0.46945956,0.38787359,0.4315626
1013240,1017240,0.552422,0.40565923,0.4438352
1017240,1035280,0.504758,0.3321858,0.37446144
1035280,1038200,0.5219633,0.43603641,0.52466911
1038200,1079760,0.32497534,0.25366771,0.29103076
1079760,1089560,0.4925946,0.43540075,0.4100503
1089560,1093080,0.42139423,0.3816914,0.32464737
1093080,1112800,0.33750904,0.36439148,0.22143283
1112800,1127680,0.38182536,0.32087049,0.30726632
1127680,1158040,0.26740271,0.30677462,0.3380464
1158040,1226240,0.19271588,0.27362007,0.25226307
1226240,1249040,0.26926106,0.1786906,0.26743159
1249040,1300560,0.23783588,0.3145965,0.41999498
1300560,1366120,0.26296279,0.20398158,0.24026188
1366120,1500480,0.64672625,0.73953289,0.7512061
1500480,1503880,0.42374232,0.31466565,0.39857325
1503880,1505440,0.49792162,0.37819937,0.44381621
1505440,1507680,0.46970043,0.44277537,0.34573227
1507680,1508480,0.29998097,0.32632089,0.302705
1508480,1512280,0.28151774,0.39140618,0.39862543
1512280,1515240,0.25408459,0.23826624,0.25222698
1515240,1516520,0.30431584,0.32837,0.43517143
1516520,1519560,0.43868679,0.44806018,0.43037671
1519560,1526240,0.28003827,0.40532151,0.22889429
